id,Dino,Lugia,Taz
Taz1,0.0019396961433812976,0.0006632118602283299,0.9973970651626587
Lugia1,0.09112435579299927,0.8732971549034119,0.03557850047945976
Dino2,0.1989150494337082,0.6904857754707336,0.11059917509555817
Taz10,0.0121754240244627,0.012826947495341301,0.9749976992607117
Dino5,0.6109122037887573,0.15489956736564636,0.23418818414211273
Taz11,0.03491371497511864,0.018262825906276703,0.9468234777450562
Lugia7,0.00871856790035963,0.9849539995193481,0.006327405106276274
Taz7,0.012548191472887993,0.007390640210360289,0.9800611734390259
Dino1,0.986692488193512,0.0045811478048563,0.008726383559405804
Dino14,0.9251798987388611,0.035653743892908096,0.03916635364294052
Lugia6,0.095985047519207,0.849749743938446,0.05426517128944397
Lugia12,0.0018196263117715716,0.9956861734390259,0.0024942602030932903
Lugia11,0.008494339883327484,0.9745786786079407,0.01692705601453781
Taz13,0.005909868516027927,0.0039013370405882597,0.9901887774467468
Dino10,0.9476394653320312,0.023608753457665443,0.028751803562045097
Taz6,0.005804271902889013,0.002267030067741871,0.9919286966323853
Taz8,0.1494937688112259,0.08541887253522873,0.7650873064994812
Lugia10,0.011590463109314442,0.9743427634239197,0.01406683586537838
Dino8,0.887915849685669,0.07884886115789413,0.03323528170585632
Dino15,0.11271600425243378,0.08585651963949203,0.8014274835586548
Lugia9,0.9714516997337341,0.01432106364518404,0.014227285049855709
Lugia5,0.011678198352456093,0.9779453873634338,0.01037648320198059
Taz9,0.1424894481897354,0.11244099587202072,0.7450695037841797
Taz3,0.013957792893052101,0.011843424290418625,0.9741986989974976
Dino7,0.33992597460746765,0.516452968120575,0.14362111687660217
Taz5,0.025384793058037758,0.01634722575545311,0.9582679867744446
Dino11,0.6700193881988525,0.14487436413764954,0.18510621786117554
Dino4,0.5879822373390198,0.3266124427318573,0.08540531992912292
Taz12,0.15599705278873444,0.15437856316566467,0.6896244287490845
Taz14,0.0489581860601902,0.9056699872016907,0.04537172615528107
Taz2,0.051040612161159515,0.04294922947883606,0.906010091304779
Taz4,0.008579066954553127,0.0032754538115113974,0.9881454706192017
Lugia4,0.9716159701347351,0.01281202957034111,0.015571998432278633
Lugia2,0.129825621843338,0.6463398933410645,0.22383444011211395
Lugia13,0.09942293167114258,0.8859361410140991,0.014640812762081623
Lugia15,0.9149748086929321,0.04525114595890045,0.03977404907345772
Dino6,0.07624026387929916,0.5540503859519958,0.369709312915802
Taz15,0.01171961985528469,0.00945085659623146,0.9788295030593872
Lugia8,0.9367320537567139,0.030923403799533844,0.03234454616904259
Dino3,0.2213413268327713,0.7215029001235962,0.0571557953953743
Lugia14,0.4040665924549103,0.5389818549156189,0.056951478123664856
Dino9,0.013800940476357937,0.9673753380775452,0.018823664635419846
Lugia3,0.411808043718338,0.5220075249671936,0.06618443876504898
Dino12,0.9119621515274048,0.04891640692949295,0.03912144526839256
Dino13,0.13620033860206604,0.8169270157814026,0.0468725711107254
Test Accuracy : 73.33333333333333 %
